390	384.75	18.75	18.75
226.5	61.5	24.75	24.75
162	66.75	24	24
112.5	80.25	38.25	38.25
228.75	75.75	21	21
300	71.25	31.5	31.5
498.75	81	34.5	34.5
606.75	453	22.5	22.5
50.25	90.75	30.75	30.75
567.75	88.5	27.75	27.75
83.25	99.75	33	33
260.25	93.75	30	30
595.5	108.75	39.75	39.75
560.25	107.25	29.25	29.25
528	119.25	24	24
495	235.5	21	21
654	246.75	20.25	20.25
333	244.5	21.75	21.75
177	248.25	22.5	22.5
431.25	249	27	27
461.25	255	24	24
624	144	22.5	22.5
120.75	284.25	24.75	24.75
648	290.25	25.5	25.5
651	192	23.25	23.25
498	219	27	27
657.75	219	25.5	25.5
441.75	16.5	23.25	23.25
636.75	15.75	25.5	25.5
159.75	80.25	23.25	23.25
667.5	327	23.25	23.25
531	88.5	39	39
232.5	96.75	22.5	22.5
463.5	98.25	31.5	31.5
477.75	102	24.75	24.75
45	108	22.5	22.5
643.5	467.25	20.25	20.25
463.5	528	24	24
321.75	128.25	27	27
540.75	132.75	30	30
108	140.25	21.75	21.75
354	135.75	42	42
401.25	113.25	37.5	37.5
672.75	216.75	23.25	23.25
514.5	242.25	48.75	48.75
492.75	300	25.5	25.5
176.25	60	35.25	35.25
249.75	82.5	25.5	25.5
131.25	86.25	28.5	28.5
446.25	102.75	36	36
27.75	123.75	38.25	38.25
192.75	86.25	31.5	31.5
266.25	60	46.5	46.5
680.25	193.5	33	33
272.25	108	30	30
127.5	106.5	35.25	35.25
592.5	138	34.5	34.5
83.25	137.25	37.5	37.5
387	252	34.5	34.5
121.5	135	46.5	46.5
637.5	154.5	40.5	40.5
244.5	72.75	39.75	39.75
593.25	203.25	48	48
383.25	162.75	48.75	48.75
450	137.25	60.75	60.75
612	168.75	45.75	45.75
647.25	240.75	43.5	43.5
672.75	236.25	42	42
440.25	179.25	52.5	52.5
479.25	169.5	54	54
250.5	123.75	60	60
352.5	198	66.75	66.75
