482	165	19	19
159	167	24	24
416	84	28	28
542	87	21	21
604	87	19	19
401	43	21	21
267	93	21	21
458	46	21	21
431	53	18	18
487	49	21	21
472	174	22	22
495	178	18	18
302	98	24	24
535	180	21	21
564	175	22	22
519	60	21	21
462	66	18	18
216	113	23	23
552	69	21	21
388	261	20	20
648	264	22	22
550	185	19	19
587	75	20	20
528	78	18	18
404	523	21	21
285	193	25	25
447	193	26	26
252	120	21	21
301	120	23	23
500	198	25	25
126	275	21	21
462	120	24	24
510	126	24	24
426	124	24	24
271	131	19	19
304	211	18	18
553	213	30	30
468	134	20	20
585	132	24	24
435	138	20	20
673	330	24	24
435	217	27	27
544	132	23	23
162	336	19	19
479	294	21	21
577	149	21	21
120	342	24	24
658	349	24	24
203	154	22	22
295	152	27	27
247	154	25	25
174	373	18	18
624	392	18	18
208	378	19	19
392	375	24	24
544	147	24	24
523	155	21	21
213	168	25	25
667	167	21	21
489	68	23	23
225	333	22	22
197	345	21	21
539	343	28	28
234	204	35	35
12	552	21	21
273	212	32	32
582	258	28	28
676	284	21	21
621	329	36	36
407	57	25	25
317	500	26	26
174	204	45	45
362	371	24	24
413	371	23	23
475	78	24	24
574	236	24	24
204	242	36	36
270	254	30	30
591	150	24	24
291	267	24	24
483	276	25	25
73	302	37	37
456	59	25	25
463	355	25	25
153	248	34	34
639	282	26	26
474	155	31	31
512	177	28	28
488	210	35	35
408	104	33	33
180	134	30	30
465	248	35	35
671	259	29	29
207	264	30	30
441	286	30	30
333	305	34	34
194	315	39	39
527	250	40	40
228	267	31	31
586	66	34	34
319	493	37	37
173	328	37	37
294	209	37	37
543	314	51	51
414	113	45	45
477	51	51	51
126	308	55	55
324	356	52	52
96	285	65	65
186	157	66	66
