40	158	29	29
109	160	25	25
238	342	19	19
168	162	26	26
396	171	20	20
524	170	27	27
549	152	29	29
639	173	21	21
264	90	21	21
300	94	23	23
332	90	22	22
353	90	22	22
116	178	23	23
212	104	19	19
277	97	27	27
337	103	23	23
377	99	24	24
409	105	24	24
531	255	19	19
387	111	24	24
676	186	22	22
567	264	19	19
92	187	20	20
216	123	27	27
146	183	30	30
322	113	27	27
672	277	24	24
187	113	36	36
142	123	26	26
607	141	24	24
452	141	30	30
61	147	26	26
567	194	20	20
491	131	19	19
439	294	21	21
639	146	21	21
609	297	21	21
154	147	24	24
598	305	21	21
594	149	24	24
505	151	21	21
573	153	20	20
349	206	30	30
620	228	24	24
522	214	24	24
363	238	21	21
566	240	33	33
242	243	19	19
673	244	23	23
138	317	21	21
644	340	20	20
355	107	27	27
488	549	19	19
669	171	21	21
497	114	29	29
677	229	21	21
600	258	24	24
127	218	24	24
427	167	32	32
549	178	31	31
130	200	25	25
75	158	30	30
228	150	36	36
141	158	27	27
309	111	25	25
612	162	27	27
502	168	28	28
576	171	27	27
411	177	28	28
318	228	26	26
402	180	25	25
586	183	27	27
618	188	27	27
471	271	26	26
477	153	37	37
521	129	31	31
177	149	39	39
658	212	27	27
79	216	32	32
546	216	39	39
177	305	30	30
534	201	33	33
522	245	31	31
88	185	39	39
624	132	45	45
445	235	50	50
219	180	39	39
467	439	41	41
498	142	36	36
657	267	40	40
435	288	35	35
327	234	42	42
320	213	41	41
159	111	42	42
651	311	38	38
385	243	57	57
273	190	51	51
339	106	51	51
589	247	55	55
316	169	54	54
