423	162	24	24
512	163	21	21
580	160	32	32
599	165	22	22
557	171	24	24
656	169	26	26
453	345	18	18
340	177	18	18
599	177	21	21
382	143	19	19
396	146	23	23
508	183	21	21
567	181	21	21
622	189	25	25
349	153	24	24
273	182	22	22
330	186	22	22
520	149	26	26
555	186	27	27
442	154	22	22
364	161	18	18
184	192	31	31
540	192	19	19
239	194	24	24
643	192	24	24
220	207	27	27
436	193	27	27
564	459	19	19
612	196	22	22
329	201	19	19
490	203	24	24
167	207	25	25
285	210	21	21
481	227	18	18
535	227	20	20
107	230	21	21
542	208	28	28
86	216	26	26
69	235	36	36
129	213	28	28
577	240	23	23
250	493	20	20
457	511	21	21
523	192	27	27
567	195	22	22
343	198	24	24
186	248	27	27
201	207	30	30
307	153	23	23
585	207	31	31
136	228	25	25
493	281	36	36
540	255	30	30
560	301	36	36
337	326	27	27
488	375	32	32
159	261	25	25
243	209	25	25
357	209	24	24
402	201	44	44
435	225	28	28
624	230	28	28
372	155	33	33
245	489	28	28
312	165	30	30
546	330	37	37
576	183	31	31
558	247	30	30
140	252	27	27
612	248	30	30
493	311	42	42
408	324	51	51
147	210	34	34
332	255	42	42
378	274	42	42
352	306	41	41
297	246	48	48
448	282	39	39
601	162	40	40
384	301	45	45
134	249	36	36
513	339	48	48
403	235	43	43
327	306	42	42
386	126	58	58
126	156	57	57
216	393	63	63
272	216	62	62
172	233	61	61
249	264	66	66
