300.75	177.75	20.25	20.25
432	58.5	21	21
412.5	200.25	19.5	19.5
626.25	209.25	32.25	32.25
366.75	128.25	21.75	21.75
472.5	126.75	28.5	28.5
601.5	227.25	20.25	20.25
482.25	141.75	26.25	26.25
392.25	401.25	21	21
396	422.25	18	18
336.75	434.25	23.25	23.25
286.5	177.75	24.75	24.75
310.5	181.5	21.75	21.75
460.5	305.25	21.75	21.75
403.5	330	27	27
431.25	124.5	30	30
360.75	383.25	27	27
315	432	24	24
247.5	189.75	30	30
123.75	429	31.5	31.5
355.5	154.5	25.5	25.5
352.5	367.5	33	33
336	162.75	34.5	34.5
173.25	229.5	37.5	37.5
362.25	522.75	33	33
408.75	247.5	42	42
188.25	394.5	33	33
343.5	534	35.25	35.25
58.5	338.25	42	42
392.25	372	39.75	39.75
447	118.5	39	39
358.5	168	37.5	37.5
99.75	228	45	45
378.75	356.25	54	54
447	306	52.5	52.5
