359	53	28	28
160	64	21	21
180	65	24	24
48	89	33	33
85	87	33	33
109	74	33	33
487	75	36	36
471	94	27	27
518	98	34	34
266	216	18	18
207	98	23	23
556	97	26	26
598	99	26	26
139	102	24	24
327	235	20	20
196	259	24	24
60	111	18	18
390	247	22	22
473	244	27	27
591	110	34	34
608	326	24	24
84	150	21	21
36	121	33	33
666	273	18	18
690	278	22	22
359	153	25	25
398	118	32	32
570	120	24	24
471	18	21	21
295	72	33	33
381	129	20	20
219	102	20	20
629	144	39	39
460	107	27	27
441	16	23	23
237	75	39	39
426	97	35	35
174	104	22	22
254	314	26	26
615	168	36	36
452	125	26	26
382	126	27	27
646	166	32	32
216	65	35	35
673	198	34	34
178	243	30	30
113	131	44	44
558	252	30	30
528	147	28	28
433	168	34	34
495	183	31	31
272	63	36	36
642	285	32	32
537	130	33	33
212	168	42	42
283	103	39	39
414	122	35	35
190	63	41	41
264	167	52	52
468	119	45	45
87	129	37	37
453	522	51	51
376	149	45	45
124	96	47	47
553	107	47	47
540	167	45	45
421	192	48	48
497	210	53	53
498	231	48	48
609	183	61	61
331	202	50	50
621	217	60	60
252	101	48	48
578	122	66	66
657	190	56	56
197	264	60	60
29	117	66	66
