465.75	330.75	18.75	18.75
414	336	21.75	21.75
197.25	347.25	18.75	18.75
306.75	356.25	19.5	19.5
581.25	369.75	23.25	23.25
288	249.75	22.5	22.5
255.75	253.5	18.75	18.75
229.5	257.25	20.25	20.25
552.75	470.25	18	18
567	480	22.5	22.5
330.75	259.5	25.5	25.5
296.25	264.75	32.25	32.25
388.5	265.5	26.25	26.25
138.75	271.5	22.5	22.5
234	271.5	20.25	20.25
326.25	274.5	19.5	19.5
593.25	409.5	42	42
362.25	273.75	28.5	28.5
116.25	280.5	19.5	19.5
507	280.5	24	24
537.75	282.75	24	24
174	286.5	19.5	19.5
455.25	283.5	29.25	29.25
46.5	286.5	27.75	27.75
639	300.75	20.25	20.25
603.75	309	22.5	22.5
228.75	317.25	24	24
595.5	324.75	22.5	22.5
474.75	294.75	27	27
549.75	298.5	29.25	29.25
528	15	23.25	23.25
569.25	315	30	30
419.25	354	30.75	30.75
207	531	23.25	23.25
387.75	282.75	28.5	28.5
576	13.5	25.5	25.5
324	340.5	27.75	27.75
619.5	348	24	24
540.75	450	27	27
575.25	291	27	27
132.75	318.75	33.75	33.75
513	330.75	31.5	31.5
432	374.25	33.75	33.75
650.25	396.75	25.5	25.5
369.75	318	30.75	30.75
526.5	315.75	35.25	35.25
620.25	318.75	35.25	35.25
516.75	378	30	30
394.5	381.75	31.5	31.5
114	280.5	28.5	28.5
249.75	281.25	30.75	30.75
349.5	302.25	28.5	28.5
56.25	304.5	40.5	40.5
84.75	299.25	58.5	58.5
251.25	316.5	36.75	36.75
315.75	283.5	35.25	35.25
186.75	305.25	34.5	34.5
178.5	316.5	36	36
210	337.5	42.75	42.75
183.75	270.75	34.5	34.5
381	356.25	34.5	34.5
605.25	363.75	41.25	41.25
160.5	471	39	39
153.75	302.25	37.5	37.5
468.75	365.25	40.5	40.5
256.5	291.75	42	42
535.5	369	49.5	49.5
361.5	315	43.5	43.5
330	276	42.75	42.75
216	293.25	48.75	48.75
534.75	330	48.75	48.75
480	381	49.5	49.5
219	514.5	48.75	48.75
